"weit","kugel","hoch","disc","stab","speer","punkte"
"OBRIEN",7.57,15.66,207,48.78,500,66.9,8824
"BUSEMANN",8.07,13.6,204,45.04,480,66.86,8706
"DVORAK",7.6,15.82,198,46.28,470,70.16,8664
"FRITZ",7.77,15.31,204,49.84,510,65.7,8644
"HAMALAINEN",7.48,16.32,198,49.62,500,57.66,8613
"NOOL",7.88,14.01,201,42.98,540,65.48,8543
"ZMELIK",7.64,13.53,195,43.44,540,67.2,8422
"GANIYEV",7.61,14.71,213,44.86,520,53.7,8318
"PENALVER",7.27,16.91,207,48.92,470,57.08,8307
"HUFFINS",7.49,15.57,204,48.72,470,60.62,8300
"PLAZIAT",7.82,14.85,204,45.34,490,52.18,8282
"MAGNUSSON",7.28,15.52,195,43.78,480,61.1,8274
"SMITH",7.47,16.97,195,49.54,500,64.34,8271
"MUELLER",7.25,14.69,195,45.9,510,66.1,8253
"CHMARA",7.75,14.51,210,42.6,490,54.84,8249
